order_id,time_to_deliver_days,diff_estimated_delivery_days
22d17396-ac4c-177e-0ea8-3929cd4f845d,16,-14
9ceb8ab5-165c-efec-dddb-546cb5a6362b,13,-16
95a74a28-d622-001a-afb5-dd088ea0d88c,13,-7
d493148a-a5f8-d089-14d2-9ec0524e1196,14,-12
a0d5b847-4423-ddf5-5228-373b81a46272,11,-16
cbec453d-dd87-4ca6-20b8-afc6393e3218,8,-14
61988b31-8aaf-57d1-8336-c629bc42cf1b,15,-6
b88d7ae9-bd78-eac1-8e8b-6ceb04695fb8,10,-12
908e767e-2890-8dc5-ec61-fe0ef8ef03f9,8,-11
c82a457d-646f-77c8-f151-e12a3e517ed2,7,0
edc531c3-153d-2361-4049-077e7e1e6405,16,-6
e22b71f6-e4a4-8144-5ec4-527cb4c405f7,10,-9
6efcd938-092f-e739-0461-0b4bd39b2e7f,7,-17
1e8c8180-5b92-ff16-9971-231458670460,12,-7
1da00355-018e-d3e0-fdd5-48cf3ddada99,10,-28
21c71f62-d255-4e1a-d6c8-ba9dc7af2c62,13,-16
93a21c10-557c-c1b1-ecfe-2c3a808c648a,6,-17
38c4ae94-2b81-8085-5781-57aabd4abf9e,11,-26
f175d675-89e0-59cb-bda9-56f10f0702e6,12,-27
c263211b-d219-538f-7c03-1591e87ef0d7,24,-1
7835af18-56de-332f-2f3c-9204b740a3a2,10,-16
507240e3-05d6-3105-6d7c-ed5d5ab0eb9a,7,-6
17c2ee64-306e-fa76-f138-9315a974eeba,13,-14
5ec8f4e8-fe5e-e3fd-5460-b244d0804f9e,10,-20
7156f3e0-b944-05ab-cbad-1a8c94557338,13,-7
def622b4-b003-c474-9c88-9dd9a0b43eca,14,-13
434d3eec-8dd0-31c3-2207-7fb2452e53a0,1,-7
3ef7c7b4-3ae4-4941-5675-a6c34720b78e,10,-16
7e3e92dc-3eaf-5389-f32d-a97228f7dd0e,9,-14
4d957030-47b8-a80c-f579-6b7478900ec7,7,-20
955e2b62-2db1-a1f4-031e-f035ce9a861f,6,-15
cf8f7b73-e35c-b19f-f895-c2f45c1ded72,6,-8
fd9b8ed5-1e5f-fedf-7a56-bea36cc5b6f9,20,-8
bb4f0c21-ae60-14e4-0ef0-07ff6fbcbeb9,17,-15
f31535f2-1d14-5b23-45e2-bf7f09d62322,81,49
d86359a4-5e3f-6c6d-8b35-f7b13e41abf5,9,-27
